;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/12/2016 2:51:35 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0025	0x00F3      	MOVWF      R3
0x0026	0x01F4      	CLRF       R3+1
0x0027	0x0873      	MOVF       R3, 0
0x0028	0x00F1      	MOVWF      R0+1
0x0029	0x01F0      	CLRF       R0
0x002A	0x0870      	MOVF       R0, 0
0x002B	0x00D2      	MOVWF      _TMR
0x002C	0x0871      	MOVF       R0+1, 0
0x002D	0x00D3      	MOVWF      _TMR+1
;auto.c,225 :: 		TMR = TMR + TMR1L;          // Combine 2x counter byte into single integer
0x002E	0x080E      	MOVF       TMR1L, 0
0x002F	0x07F0      	ADDWF      R0, 1
0x0030	0x1803      	BTFSC      STATUS, 0
0x0031	0x0AF1      	INCF       R0+1, 1
0x0032	0x0870      	MOVF       R0, 0
0x0033	0x00D2      	MOVWF      _TMR
0x0034	0x0871      	MOVF       R0+1, 0
0x0035	0x00D3      	MOVWF      _TMR+1
;auto.c,227 :: 		duration = (TMR/10) * 8;  // Duration Formula = TMR * 0.2us(Clock speed) * 4 (Timer Prescale)
0x0036	0x300A      	MOVLW      10
0x0037	0x00F4      	MOVWF      R4
0x0038	0x3000      	MOVLW      0
0x0039	0x00F5      	MOVWF      R4+1
0x003A	0x247C      	CALL       _Div_16x16_U
0x003B	0x3003      	MOVLW      3
0x003C	0x00F2      	MOVWF      R2
0x003D	0x0870      	MOVF       R0, 0
0x003E	0x1683      	BSF        STATUS, 5
0x003F	0x00C8      	MOVWF      interrupt_duration_L0
0x0040	0x0871      	MOVF       R0+1, 0
0x0041	0x00C9      	MOVWF      interrupt_duration_L0+1
0x0042	0x0872      	MOVF       R2, 0
L__interrupt56:
0x0043	0x1903      	BTFSC      STATUS, 2
0x0044	0x284A      	GOTO       L__interrupt57
0x0045	0x0DC8      	RLF        interrupt_duration_L0, 1
0x0046	0x0DC9      	RLF        interrupt_duration_L0+1, 1
0x0047	0x1048      	BCF        interrupt_duration_L0, 0
0x0048	0x3EFF      	ADDLW      255
0x0049	0x2843      	GOTO       L__interrupt56
L__interrupt57:
0x004A	0x3000      	MOVLW      0
0x004B	0x00CA      	MOVWF      interrupt_duration_L0+2
0x004C	0x00CB      	MOVWF      interrupt_duration_L0+3
;auto.c,229 :: 		distance_cm = duration / 58 ;   // Refer HC-SR04 Datasheet
0x004D	0x303A      	MOVLW      58
0x004E	0x00F4      	MOVWF      R4
0x004F	0x01F5      	CLRF       R4+1
0x0050	0x01F6      	CLRF       R4+2
0x0051	0x01F7      	CLRF       R4+3
0x0052	0x0848      	MOVF       interrupt_duration_L0, 0
0x0053	0x00F0      	MOVWF      R0
0x0054	0x0849      	MOVF       interrupt_duration_L0+1, 0
0x0055	0x00F1      	MOVWF      R0+1
0x0056	0x084A      	MOVF       interrupt_duration_L0+2, 0
0x0057	0x00F2      	MOVWF      R0+2
0x0058	0x084B      	MOVF       interrupt_duration_L0+3, 0
0x0059	0x00F3      	MOVWF      R0+3
0x005A	0x2304      	CALL       _Div_32x32_U
0x005B	0x0870      	MOVF       R0, 0
0x005C	0x00D6      	MOVWF      _distance_cm
0x005D	0x0871      	MOVF       R0+1, 0
0x005E	0x00D7      	MOVWF      _distance_cm+1
;auto.c,230 :: 		distance_inc = duration / 148;
0x005F	0x3094      	MOVLW      148
0x0060	0x00F4      	MOVWF      R4
0x0061	0x01F5      	CLRF       R4+1
0x0062	0x01F6      	CLRF       R4+2
0x0063	0x01F7      	CLRF       R4+3
0x0064	0x1683      	BSF        STATUS, 5
0x0065	0x0848      	MOVF       interrupt_duration_L0, 0
0x0066	0x00F0      	MOVWF      R0
0x0067	0x0849      	MOVF       interrupt_duration_L0+1, 0
0x0068	0x00F1      	MOVWF      R0+1
0x0069	0x084A      	MOVF       interrupt_duration_L0+2, 0
0x006A	0x00F2      	MOVWF      R0+2
0x006B	0x084B      	MOVF       interrupt_duration_L0+3, 0
0x006C	0x00F3      	MOVWF      R0+3
0x006D	0x2304      	CALL       _Div_32x32_U
0x006E	0x0870      	MOVF       R0, 0
0x006F	0x00D4      	MOVWF      _distance_inc
0x0070	0x0871      	MOVF       R0+1, 0
0x0071	0x00D5      	MOVWF      _distance_inc+1
;auto.c,231 :: 		if(distance_cm < 30)
0x0072	0x3000      	MOVLW      0
0x0073	0x0257      	SUBWF      _distance_cm+1, 0
0x0074	0x1D03      	BTFSS      STATUS, 2
0x0075	0x2878      	GOTO       L__interrupt58
0x0076	0x301E      	MOVLW      30
0x0077	0x0256      	SUBWF      _distance_cm, 0
L__interrupt58:
0x0078	0x1803      	BTFSC      STATUS, 0
0x0079	0x2890      	GOTO       L_interrupt30
;auto.c,233 :: 		if (bandera_mover && bandera_automatico) {/* Si hay obstaculo y esta en Automatico*/
0x007A	0x0828      	MOVF       _bandera_mover, 0
0x007B	0x0429      	IORWF      _bandera_mover+1, 0
0x007C	0x1903      	BTFSC      STATUS, 2
0x007D	0x2884      	GOTO       L_interrupt33
0x007E	0x0826      	MOVF       _bandera_automatico, 0
0x007F	0x0427      	IORWF      _bandera_automatico+1, 0
0x0080	0x1903      	BTFSC      STATUS, 2
0x0081	0x2884      	GOTO       L_interrupt33
L__interrupt54:
;auto.c,234 :: 		darVuelta();
0x0082	0x2499      	CALL       _darVuelta
;auto.c,235 :: 		}else if(bandera_mover && !bandera_automatico){
0x0083	0x288F      	GOTO       L_interrupt34
L_interrupt33:
0x0084	0x0828      	MOVF       _bandera_mover, 0
0x0085	0x0429      	IORWF      _bandera_mover+1, 0
0x0086	0x1903      	BTFSC      STATUS, 2
0x0087	0x288F      	GOTO       L_interrupt37
0x0088	0x0826      	MOVF       _bandera_automatico, 0
0x0089	0x0427      	IORWF      _bandera_automatico+1, 0
0x008A	0x1D03      	BTFSS      STATUS, 2
0x008B	0x288F      	GOTO       L_interrupt37
L__interrupt53:
;auto.c,236 :: 		pararVehiculo();
0x008C	0x21C0      	CALL       _pararVehiculo
;auto.c,237 :: 		bandera_mover = 0;
0x008D	0x01A8      	CLRF       _bandera_mover
0x008E	0x01A9      	CLRF       _bandera_mover+1
;auto.c,238 :: 		}
L_interrupt37:
L_interrupt34:
;auto.c,239 :: 		}else {
0x008F	0x2895      	GOTO       L_interrupt38
L_interrupt30:
;auto.c,240 :: 		bandera_mover = 1;
0x0090	0x3001      	MOVLW      1
0x0091	0x00A8      	MOVWF      _bandera_mover
0x0092	0x3000      	MOVLW      0
0x0093	0x00A9      	MOVWF      _bandera_mover+1
;auto.c,241 :: 		avanzarVehiculo();
0x0094	0x2182      	CALL       _avanzarVehiculo
;auto.c,242 :: 		}
L_interrupt38:
;auto.c,243 :: 		distance_cm = 0, distance_inc = 0, TMR = 0;
0x0095	0x01D6      	CLRF       _distance_cm
0x0096	0x01D7      	CLRF       _distance_cm+1
0x0097	0x01D4      	CLRF       _distance_inc
0x0098	0x01D5      	CLRF       _distance_inc+1
0x0099	0x01D2      	CLRF       _TMR
0x009A	0x01D3      	CLRF       _TMR+1
;auto.c,245 :: 		INTCON.RBIF = 0;        // Clear PortB Interrupt Flag
0x009B	0x100B      	BCF        INTCON, 0
;auto.c,246 :: 		}
L_interrupt27:
;auto.c,249 :: 		return;
;auto.c,250 :: 		}
L__interrupt55:
0x009C	0x1283      	BCF        STATUS, 5
0x009D	0x0825      	MOVF       37, 0
0x009E	0x00F0      	MOVWF      R0
0x009F	0x0824      	MOVF       36, 0
0x00A0	0x00F1      	MOVWF      R1
0x00A1	0x0823      	MOVF       35, 0
0x00A2	0x00FB      	MOVWF      R11
0x00A3	0x0822      	MOVF       34, 0
0x00A4	0x00FC      	MOVWF      R12
0x00A5	0x0821      	MOVF       33, 0
0x00A6	0x00FD      	MOVWF      R13
0x00A7	0x1683      	BSF        STATUS, 5
0x00A8	0x0841      	MOVF       ___savePCLATH, 0
0x00A9	0x008A      	MOVWF      PCLATH
0x00AA	0x0E40      	SWAPF      ___saveSTATUS, 0
0x00AB	0x0083      	MOVWF      STATUS
0x00AC	0x0EFF      	SWAPF      R15, 1
0x00AD	0x0E7F      	SWAPF      R15, 0
0x00AE	0x0009      	RETFIE
; end of _interrupt
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x00AF	0x0000      	NOP
0x00B0	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
0x00B1	0x0008      	RETURN
; end of _Delay_1us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x00B2	0x300F      	MOVLW      15
0x00B3	0x1283      	BCF        STATUS, 5
0x00B4	0x1303      	BCF        STATUS, 6
0x00B5	0x00FC      	MOVWF      R12
0x00B6	0x3047      	MOVLW      71
0x00B7	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x00B8	0x0BFD      	DECFSZ     R13, 1
0x00B9	0x28B8      	GOTO       L_Delay_5500us5
0x00BA	0x0BFC      	DECFSZ     R12, 1
0x00BB	0x28B8      	GOTO       L_Delay_5500us5
0x00BC	0x0000      	NOP
0x00BD	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
0x00BE	0x0008      	RETURN
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x00BF	0x3021      	MOVLW      33
0x00C0	0x1283      	BCF        STATUS, 5
0x00C1	0x1303      	BCF        STATUS, 6
0x00C2	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x00C3	0x0BFD      	DECFSZ     R13, 1
0x00C4	0x28C3      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
0x00C5	0x0008      	RETURN
; end of _Delay_50us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00C6	0x1683      	BSF        STATUS, 5
0x00C7	0x1303      	BCF        STATUS, 6
0x00C8	0x1BC7      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00C9	0x28CD      	GOTO       L__Lcd_Cmd21
0x00CA	0x1283      	BCF        STATUS, 5
0x00CB	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00CC	0x28CF      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00CD	0x1283      	BCF        STATUS, 5
0x00CE	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00CF	0x1683      	BSF        STATUS, 5
0x00D0	0x1B47      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00D1	0x28D5      	GOTO       L__Lcd_Cmd23
0x00D2	0x1283      	BCF        STATUS, 5
0x00D3	0x1106      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00D4	0x28D7      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00D5	0x1283      	BCF        STATUS, 5
0x00D6	0x1506      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00D7	0x1683      	BSF        STATUS, 5
0x00D8	0x1AC7      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00D9	0x28DD      	GOTO       L__Lcd_Cmd25
0x00DA	0x1283      	BCF        STATUS, 5
0x00DB	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00DC	0x28DF      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00DD	0x1283      	BCF        STATUS, 5
0x00DE	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00DF	0x1683      	BSF        STATUS, 5
0x00E0	0x1A47      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00E1	0x28E5      	GOTO       L__Lcd_Cmd27
0x00E2	0x1283      	BCF        STATUS, 5
0x00E3	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00E4	0x28E7      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00E5	0x1283      	BCF        STATUS, 5
0x00E6	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00E7	0x186F      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00E8	0x28EB      	GOTO       L__Lcd_Cmd29
0x00E9	0x1606      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00EA	0x28EC      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00EB	0x1206      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00EC	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00ED	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00EE	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00EF	0x1683      	BSF        STATUS, 5
0x00F0	0x19C7      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00F1	0x28F5      	GOTO       L__Lcd_Cmd31
0x00F2	0x1283      	BCF        STATUS, 5
0x00F3	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00F4	0x28F7      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00F5	0x1283      	BCF        STATUS, 5
0x00F6	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00F7	0x1683      	BSF        STATUS, 5
0x00F8	0x1947      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00F9	0x28FD      	GOTO       L__Lcd_Cmd33
0x00FA	0x1283      	BCF        STATUS, 5
0x00FB	0x1106      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00FC	0x28FF      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00FD	0x1283      	BCF        STATUS, 5
0x00FE	0x1506      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00FF	0x1683      	BSF        STATUS, 5
0x0100	0x18C7      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x0101	0x2905      	GOTO       L__Lcd_Cmd35
0x0102	0x1283      	BCF        STATUS, 5
0x0103	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x0104	0x2907      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x0105	0x1283      	BCF        STATUS, 5
0x0106	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x0107	0x1683      	BSF        STATUS, 5
0x0108	0x1847      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x0109	0x290D      	GOTO       L__Lcd_Cmd37
0x010A	0x1283      	BCF        STATUS, 5
0x010B	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x010C	0x290F      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x010D	0x1283      	BCF        STATUS, 5
0x010E	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x010F	0x186F      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0110	0x2913      	GOTO       L__Lcd_Cmd39
0x0111	0x1606      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x0112	0x2914      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x0113	0x1206      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x0114	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x0115	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x0116	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x0117	0x1C6F      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0118	0x291B      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x0119	0x20B2      	CALL       _Delay_5500us
0x011A	0x291C      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x011B	0x20BF      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x011C	0x0008      	RETURN
; end of _Lcd_Cmd
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x011D	0x1283      	BCF        STATUS, 5
0x011E	0x1303      	BCF        STATUS, 6
0x011F	0x106F      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x0120	0x1683      	BSF        STATUS, 5
0x0121	0x0846      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x0122	0x00C7      	MOVWF      FARG_Lcd_Cmd_out_char
0x0123	0x20C6      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x0124	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x0125	0x0008      	RETURN
; end of _Lcd_Chr_CP
_UART1_Data_Ready:
;__Lib_UART_c67.c,16 :: 		
;__Lib_UART_c67.c,17 :: 		
0x0126	0x3000      	MOVLW      0
0x0127	0x1283      	BCF        STATUS, 5
0x0128	0x1303      	BCF        STATUS, 6
0x0129	0x1A8C      	BTFSC      PIR1, 5
0x012A	0x3001      	MOVLW      1
0x012B	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,18 :: 		
L_end_UART1_Data_Ready:
0x012C	0x0008      	RETURN
; end of _UART1_Data_Ready
_UART1_Read:
;__Lib_UART_c67.c,21 :: 		
;__Lib_UART_c67.c,24 :: 		
0x012D	0x1283      	BCF        STATUS, 5
0x012E	0x1303      	BCF        STATUS, 6
0x012F	0x081A      	MOVF       RCREG, 0
0x0130	0x00F1      	MOVWF      R1
;__Lib_UART_c67.c,25 :: 		
0x0131	0x1C98      	BTFSS      RCSTA, 1
0x0132	0x2935      	GOTO       L_UART1_Read2
;__Lib_UART_c67.c,26 :: 		
0x0133	0x1218      	BCF        RCSTA, 4
;__Lib_UART_c67.c,27 :: 		
0x0134	0x1618      	BSF        RCSTA, 4
;__Lib_UART_c67.c,28 :: 		
L_UART1_Read2:
;__Lib_UART_c67.c,29 :: 		
0x0135	0x0871      	MOVF       R1, 0
0x0136	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,30 :: 		
L_end_UART1_Read:
0x0137	0x0008      	RETURN
; end of _UART1_Read
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x0138	0x294A      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x0139	0x3080      	MOVLW      128
0x013A	0x1683      	BSF        STATUS, 5
0x013B	0x1303      	BCF        STATUS, 6
0x013C	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x013D	0x295D      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x013E	0x30C0      	MOVLW      192
0x013F	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x0140	0x295D      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0141	0x3094      	MOVLW      148
0x0142	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x0143	0x295D      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x0144	0x30D4      	MOVLW      212
0x0145	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x0146	0x295D      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x0147	0x3080      	MOVLW      128
0x0148	0x00C2      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x0149	0x295D      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x014A	0x1683      	BSF        STATUS, 5
0x014B	0x1303      	BCF        STATUS, 6
0x014C	0x0842      	MOVF       FARG_Lcd_Out_row, 0
0x014D	0x3A01      	XORLW      1
0x014E	0x1903      	BTFSC      STATUS, 2
0x014F	0x2939      	GOTO       L_Lcd_Out13
0x0150	0x0842      	MOVF       FARG_Lcd_Out_row, 0
0x0151	0x3A02      	XORLW      2
0x0152	0x1903      	BTFSC      STATUS, 2
0x0153	0x293E      	GOTO       L_Lcd_Out14
0x0154	0x0842      	MOVF       FARG_Lcd_Out_row, 0
0x0155	0x3A03      	XORLW      3
0x0156	0x1903      	BTFSC      STATUS, 2
0x0157	0x2941      	GOTO       L_Lcd_Out15
0x0158	0x0842      	MOVF       FARG_Lcd_Out_row, 0
0x0159	0x3A04      	XORLW      4
0x015A	0x1903      	BTFSC      STATUS, 2
0x015B	0x2944      	GOTO       L_Lcd_Out16
0x015C	0x2947      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x015D	0x0343      	DECF       FARG_Lcd_Out_column, 0
0x015E	0x00F0      	MOVWF      R0
0x015F	0x0842      	MOVF       FARG_Lcd_Out_row, 0
0x0160	0x07F0      	ADDWF      R0, 1
0x0161	0x0870      	MOVF       R0, 0
0x0162	0x00C2      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x0163	0x0870      	MOVF       R0, 0
0x0164	0x00C7      	MOVWF      FARG_Lcd_Cmd_out_char
0x0165	0x20C6      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x0166	0x106F      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x0167	0x1683      	BSF        STATUS, 5
0x0168	0x01C5      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x0169	0x0845      	MOVF       Lcd_Out_i_L0, 0
0x016A	0x0744      	ADDWF      FARG_Lcd_Out_text, 0
0x016B	0x0084      	MOVWF      FSR
0x016C	0x0800      	MOVF       INDF, 0
0x016D	0x1903      	BTFSC      STATUS, 2
0x016E	0x2978      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x016F	0x0845      	MOVF       Lcd_Out_i_L0, 0
0x0170	0x0744      	ADDWF      FARG_Lcd_Out_text, 0
0x0171	0x0084      	MOVWF      FSR
0x0172	0x0800      	MOVF       INDF, 0
0x0173	0x00C6      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0174	0x211D      	CALL       _Lcd_Chr_CP
0x0175	0x1683      	BSF        STATUS, 5
0x0176	0x0AC5      	INCF       Lcd_Out_i_L0, 1
0x0177	0x2969      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x0178	0x1283      	BCF        STATUS, 5
0x0179	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x017A	0x0008      	RETURN
; end of _Lcd_Out
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x017B	0x1283      	BCF        STATUS, 5
0x017C	0x1303      	BCF        STATUS, 6
0x017D	0x086E      	MOVF       ___DoICPAddr+1, 0
0x017E	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x017F	0x086D      	MOVF       ___DoICPAddr, 0
0x0180	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x0181	0x0008      	RETURN
; end of _____DoICP
_avanzarVehiculo:
;auto.c,85 :: 		void avanzarVehiculo(){
;auto.c,86 :: 		RC1_bit = 1;
0x0182	0x1283      	BCF        STATUS, 5
0x0183	0x1303      	BCF        STATUS, 6
0x0184	0x1487      	BSF        RC1_bit, 1
;auto.c,87 :: 		RC2_bit = 1;
0x0185	0x1507      	BSF        RC2_bit, 2
;auto.c,88 :: 		RC7_bit = 0;
0x0186	0x1387      	BCF        RC7_bit, 7
;auto.c,89 :: 		RC6_bit = 0;
0x0187	0x1307      	BCF        RC6_bit, 6
;auto.c,90 :: 		}
0x0188	0x0008      	RETURN
; end of _avanzarVehiculo
_girarDerecha:
;auto.c,101 :: 		void girarDerecha(){
;auto.c,102 :: 		RC1_bit = 1;
0x0189	0x1283      	BCF        STATUS, 5
0x018A	0x1303      	BCF        STATUS, 6
0x018B	0x1487      	BSF        RC1_bit, 1
;auto.c,103 :: 		RC2_bit = 0;
0x018C	0x1107      	BCF        RC2_bit, 2
;auto.c,104 :: 		RC5_bit = 0;
0x018D	0x1287      	BCF        RC5_bit, 5
;auto.c,105 :: 		RC4_bit = 0;
0x018E	0x1207      	BCF        RC4_bit, 4
;auto.c,106 :: 		Delay_ms(2000);               /* 2 segundos de giro */
0x018F	0x3015      	MOVLW      21
0x0190	0x00FB      	MOVWF      R11
0x0191	0x304B      	MOVLW      75
0x0192	0x00FC      	MOVWF      R12
0x0193	0x30BE      	MOVLW      190
